pass,route_or_section,viewport,final_url,h1,text_chars,h_overflow,axe_serious_critical,axe_moderate_minor,tap_under24,tap_under44,text_under12px,screenshot
anon,/matches/365c010e-b6de-46f2-b40d-f8f692138a64/live,d1440,/matches/365c010e-b6de-46f2-b40d-f8f692138a64/live,,353,False,,landmark-main-is-top-levelx1;landmark-no-duplicate-mainx1;landmark-uniquex1;page-has-heading-onex1;regionx3,,,3,
anon,/matches/00000000-0000-0000-0000-000000000000/live,d1440,/matches/00000000-0000-0000-0000-000000000000/live,,299,False,,landmark-main-is-top-levelx1;landmark-no-duplicate-mainx1;landmark-uniquex1;page-has-heading-onex1;regionx3,,,2,
anon,/timeslots,d1440,/auth,,387,False,color-contrastx1,page-has-heading-onex1;regionx3,,,2,
anon,/admin,d1440,/auth,,387,False,color-contrastx1,page-has-heading-onex1;regionx3,,,2,
anon,/admin/notifications,d1440,/auth,,387,False,color-contrastx1,page-has-heading-onex1;regionx3,,,2,
anon,/this-page-does-not-exist,d1440,/this-page-does-not-exist,,314,False,,page-has-heading-onex1;regionx3,,,2,
admin,/admin#timeslots,t768,,Admin Dashboard,1259,False,button-namex1,heading-orderx1;image-redundant-altx26;landmark-uniquex1;regionx3,,,1,
admin,/admin#batch-matches,m390,,Admin Dashboard|Batch Match Creation,700,False,button-namex1;color-contrastx1,landmark-uniquex1,3,16,1,
admin,/admin#auto-schedule,m390,,Admin Dashboard|Auto Schedule Generator,1361,False,color-contrastx1,landmark-uniquex1,3,18,1,
admin,/admin#auto-schedule,d1440,,Admin Dashboard|Auto Schedule Generator,1525,False,,landmark-uniquex1;regionx3,,,2,
admin,/admin#matchups,d1440,,Admin Dashboard,4702,False,button-namex1,heading-orderx1;landmark-uniquex1;regionx3,,,2,
admin,/admin#scores,d1440,,Admin Dashboard|Mass Score Entry,673,False,,landmark-uniquex1;regionx3,,,2,
admin,/admin#live-corrections,d1440,,Admin Dashboard|Live Score Corrections,791,False,,landmark-uniquex1;regionx3,,,2,
admin,/admin#seasons,d1440,,Admin Dashboard|Season Management,1509,False,color-contrastx2,landmark-uniquex1;regionx3,,,2,screenshots/admin/tab-seasons--d1440.jpg
admin,/admin#participation,d1440,,Admin Dashboard|Season Participation,1825,False,button-namex2,landmark-uniquex1;regionx3,,,2,
admin,/admin#requests,d1440,,Admin Dashboard,878,False,button-namex1;color-contrastx2,heading-orderx1;landmark-uniquex1;regionx3,,,2,
admin,/admin#contact-inbox,d1440,,Admin Dashboard,1253,False,color-contrastx5,heading-orderx1;landmark-uniquex1;regionx3,,,6,
admin,/admin#notifications,d1440,,Admin Dashboard|Recent notifications,1344,False,,heading-orderx1;landmark-uniquex1;regionx3,,,15,
admin,/admin#teams,t768,,Admin Dashboard,2229,False,button-namex1,heading-orderx1;image-redundant-altx50;landmark-uniquex1;regionx3,,,1,
admin,/admin#teams,d1440,,Admin Dashboard,2243,False,,heading-orderx1;image-redundant-altx50;landmark-uniquex1;regionx3,,,2,
admin,/admin#hero-cards,m390,,Admin Dashboard,943,False,button-namex2;color-contrastx1;labelx3,heading-orderx1;landmark-uniquex1,3,14,1,
admin,/admin#themes,m390,,Admin Dashboard,519,False,color-contrastx2,heading-orderx1;landmark-uniquex1,3,15,1,
admin,/admin#blind-draw,m390,,Admin Dashboard,661,False,color-contrastx2,empty-table-headerx1;heading-orderx1;landmark-uniquex1,3,17,1,
admin,/admin#help,m390,,Admin Dashboard|Getting Started,1716,False,color-contrastx1,landmark-uniquex1,3,11,1,screenshots/admin/tab-help--m390.jpg
admin,/admin#help,d1440,,Admin Dashboard|Getting Started,1864,False,,landmark-uniquex1;regionx3,,,2,
admin,/admin#power-migration,m390,,Admin Dashboard|Power Score Migration Review,384,False,color-contrastx1,landmark-uniquex1,3,11,1,screenshots/admin/tab-power-migration--m390.jpg
admin,/admin#power-migration,d1440,,Admin Dashboard|Power Score Migration Review,555,False,,landmark-uniquex1;regionx3,,,2,
admin,/admin#power-sandbox,d1440,,Admin Dashboard|Power Score Sandbox,2500,False,,landmark-uniquex1;regionx3,,,2,
admin,/admin#timeslots,m390,,Admin Dashboard,1109,False,color-contrastx1,heading-orderx1;image-redundant-altx26;landmark-uniquex1,3,23,1,screenshots/admin/tab-timeslots--m390.jpg
admin,/admin#timeslots,d1440,,Admin Dashboard,1273,False,,heading-orderx1;image-redundant-altx26;landmark-uniquex1;regionx3,,,2,
admin,/admin#batch-matches,d1440,,Admin Dashboard|Batch Match Creation,864,False,button-namex1,landmark-uniquex1;regionx3,,,2,
admin,/admin#auto-schedule,t768,,Admin Dashboard|Auto Schedule Generator,1511,False,button-namex1,landmark-uniquex1;regionx3,,,1,
admin,/admin#matchups,m390,,Admin Dashboard,4543,False,button-namex1;color-contrastx1;scrollable-region-focusablex1,heading-orderx1;landmark-uniquex1,3,12,1,
admin,/admin#scores,m390,,Admin Dashboard|Mass Score Entry,514,False,color-contrastx1,landmark-uniquex1,3,11,1,
admin,/admin#scores,t768,,Admin Dashboard|Mass Score Entry,659,False,button-namex1,landmark-uniquex1;regionx3,,,1,
admin,/admin#live-corrections,m390,,Admin Dashboard|Live Score Corrections,605,False,color-contrastx1,landmark-uniquex1,3,12,1,
admin,/admin#seasons,m390,,Admin Dashboard|Season Management,1361,False,color-contrastx3,landmark-uniquex1,3,12,1,
admin,/admin#participation,m390,,Admin Dashboard|Season Participation,1677,False,button-namex2;color-contrastx1;scrollable-region-focusablex1,landmark-uniquex1,3,13,1,
admin,/admin#requests,m390,,Admin Dashboard,730,False,button-namex1;color-contrastx3,heading-orderx1;landmark-uniquex1,3,12,1,
admin,/admin#contact-inbox,m390,,Admin Dashboard,1105,False,color-contrastx6,heading-orderx1;landmark-uniquex1,7,15,5,
admin,/admin#notifications,m390,,Admin Dashboard|Recent notifications,1196,False,color-contrastx1,heading-orderx1;landmark-uniquex1,3,11,14,
admin,/admin#teams,m390,,Admin Dashboard,1774,False,color-contrastx1,heading-orderx1;landmark-uniquex1,3,166,1,
admin,/admin#divisions,m390,,Admin Dashboard|Divisions,847,False,color-contrastx1,landmark-uniquex1,3,11,1,
admin,/admin#divisions,d1440,,Admin Dashboard|Divisions,951,False,,landmark-uniquex1;regionx3,,,2,
admin,/admin#pending-matches,m390,,Admin Dashboard,989,False,color-contrastx4,heading-orderx1;landmark-uniquex1,3,11,1,screenshots/admin/tab-pending-matches--m390.jpg
admin,/admin#pending-matches,d1440,,Admin Dashboard,1148,False,color-contrastx3,heading-orderx1;landmark-uniquex1;regionx3,,,2,
